Material Category,Material Type,Multifamily,Education,Hotels,Restaurants,Retail Trade
Other Organic,Branches and Stumps,0,0.00982683,0.013737372,0,0
Other Organic,Manures,0,0,0,0,0
Other Organic,Textiles,0.066175196,0.016002722,0.021565941,0.006041145,0.002333134
Other Organic,Carpet,0.005296515,0.025464143,0.00395314,0,0.001005117
Other Organic,Remainder / Composite Organic,0.066742201,0.03534653,0.034442757,0.010310878,0.004244973
Inerts and Other,Concrete,0.003214617,0.001848811,0.001358482,0,0.001499546
Inerts and Other,Asphalt Paving,0,0,0.013855648,0,0
Inerts and Other,Asphalt Roofing,0,0.000160766,0,0,0
Inerts and Other,Clean Dimensional Lumber,0.005945348,0.000850721,0.001161658,0,2.88E-05
Inerts and Other,Clean Engineered Wood,0.001115098,0.00104498,0.000777524,0,0
Inerts and Other,Clean Pallets & Crates,0.016841343,0.003637334,0.033071518,0.006144536,0.038319773
Inerts and Other,Other Wood Waste,0.01785177,0.011400998,0.008749022,0.003596978,0.000277468
Inerts and Other,Gypsum Board,0.003512865,0,0.011475102,0,3.74E-06
Inerts and Other,"Rock, Soil and Fines",0.002492054,0.00166125,0.001314801,0.000317714,0.00017155
Inerts and Other,Remainder / Composite Inerts and Other,0.002196736,0.003919858,0.021521418,0.000352867,0.001927303
Household Hazardous Waste (HHW),Paint,3.39E-06,9.38E-05,9.61E-05,0,0
Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,0,0.000154068,1.20E-05,0,0
Household Hazardous Waste (HHW),Used Oil,0,0,0,0,0.000104028
Household Hazardous Waste (HHW),Batteries,0.000318275,0.000160563,0.000247297,1.67E-05,5.25E-06
Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,0.00039968,0.001562781,0.00024896,0.000108692,3.73E-05
Special Waste,Ash,0.000787725,0,0.006057698,0.005258251,0
Special Waste,Treated Medical Waste,0.006246939,0,0,0,0
Special Waste,Bulky Items,0.025166466,0,0.00291353,0,0.00013801
Special Waste,Tires,0.000450055,0,8.61E-05,0,0
Special Waste,Remainder / Composite Special Waste,0.000171125,0.000281341,5.96E-05,0,0.000126006
Mixed Residue,Mixed Residue,0.02918794,0.002130151,0.003342326,0.001178885,0.000462998
