,Process,Category,Param Name,Descrption,Amount,Unit,Uncertainty Type,loc,scale,Min,Max
44,LF,Operational_Cost,Mixed_Glass,Operation cost of Mixed_Glass,11.77,$/Mg,LogNormal,2.466,0.2,,
45,LF,Operational_Cost,Glass_Non_recyclable,Operation cost of Glass_Non_recyclable,11.77,$/Mg,LogNormal,2.466,0.2,,
46,LF,Operational_Cost,Misc_Organic,Operation cost of Misc_Organic,22.49,$/Mg,LogNormal,3.113,0.2,,
47,LF,Operational_Cost,Misc_Inorganic,Operation cost of Misc_Inorganic,11.77,$/Mg,LogNormal,2.466,0.2,,
48,LF,Operational_Cost,E_waste,Operation cost of E_waste,11.77,$/Mg,LogNormal,2.466,0.2,,
49,LF,Operational_Cost,Bottom_Ash,Operation cost of Bottom_Ash,11.77,$/Mg,LogNormal,2.466,0.2,,
50,LF,Operational_Cost,Fly_Ash,Operation cost of Fly_Ash,11.77,$/Mg,LogNormal,2.466,0.2,,
51,LF,Operational_Cost,Diapers_and_sanitary_products,Operation cost of Diapers_and_sanitary_products,31.21,$/Mg,LogNormal,3.441,0.2,,
52,Composting,Material_Properties,densFC,Density of final compost,700,kg/m3,Normal,700,100,,
53,Composting,Economic_parameters,Unit_capital_cost,Capital Cost,49.75,$/design Mg per year,LogNormal,3.907,0.2,,
54,Composting,Operational_Cost,Yard_Trimmings_Leaves,Operation cost of Yard_Trimmings_Leaves,15.74,$/Mg,LogNormal,2.756,0.2,,
55,Composting,Operational_Cost,Yard_Trimmings_Grass,Operation cost of Yard_Trimmings_Grass,24.14,$/Mg,LogNormal,3.184,0.2,,
56,Composting,Operational_Cost,Yard_Trimmings_Branches,Operation cost of Yard_Trimmings_Branches,25.46,$/Mg,LogNormal,3.237,0.2,,
57,Composting,Operational_Cost,Food_Waste_Vegetable,Operation cost of Food_Waste_Vegetable,23.97,$/Mg,LogNormal,3.177,0.2,,
58,Composting,Operational_Cost,Food_Waste_Non_Vegetable,Operation cost of Food_Waste_Non_Vegetable,26.99,$/Mg,LogNormal,3.295,0.2,,
59,Composting,Operational_Cost,Wood,Operation cost of Wood,22.88,$/Mg,LogNormal,3.130,0.2,,
60,Composting,Operational_Cost,Wood_Other,Operation cost of Wood_Other,22.88,$/Mg,LogNormal,3.130,0.2,,
61,Composting,Operational_Cost,Textiles,Operation cost of Textiles,18.69,$/Mg,LogNormal,2.928,0.2,,
62,Composting,Operational_Cost,Rubber_Leather,Operation cost of Rubber_Leather,17.84,$/Mg,LogNormal,2.882,0.2,,
63,Composting,Operational_Cost,Newsprint,Operation cost of Newsprint,19.65,$/Mg,LogNormal,2.978,0.2,,
64,Composting,Operational_Cost,Corr_Cardboard,Operation cost of Corr_Cardboard,19.66,$/Mg,LogNormal,2.978,0.2,,
65,Composting,Operational_Cost,Office_Paper,Operation cost of Office_Paper,18.84,$/Mg,LogNormal,2.936,0.2,,
66,Composting,Operational_Cost,Magazines,Operation cost of Magazines,19.07,$/Mg,LogNormal,2.948,0.2,,
67,Composting,Operational_Cost,Third_Class_Mail,Operation cost of Third_Class_Mail,19.40,$/Mg,LogNormal,2.965,0.2,,
68,Composting,Operational_Cost,Folding_Containers,Operation cost of Folding_Containers,19.79,$/Mg,LogNormal,2.985,0.2,,
69,Composting,Operational_Cost,Paper_Bags,Operation cost of Paper_Bags,19.79,$/Mg,LogNormal,2.985,0.2,,
70,Composting,Operational_Cost,Mixed_Paper,Operation cost of Mixed_Paper,19.64,$/Mg,LogNormal,2.978,0.2,,
71,Composting,Operational_Cost,Paper_Non_recyclable,Operation cost of Paper_Non_recyclable,19.85,$/Mg,LogNormal,2.988,0.2,,
72,Composting,Operational_Cost,HDPE_Translucent_Containers,Operation cost of HDPE_Translucent_Containers,21.78,$/Mg,LogNormal,3.081,0.2,,
73,Composting,Operational_Cost,HDPE_Pigmented_Containers,Operation cost of HDPE_Pigmented_Containers,21.78,$/Mg,LogNormal,3.081,0.2,,
74,Composting,Operational_Cost,PET_Containers,Operation cost of PET_Containers,21.78,$/Mg,LogNormal,3.081,0.2,,
75,Composting,Operational_Cost,Plastic_Other_1_Polypropylene,Operation cost of Plastic_Other_1_Polypropylene,21.77,$/Mg,LogNormal,3.081,0.2,,
76,Composting,Operational_Cost,Plastic_Other_2,Operation cost of Plastic_Other_2,21.77,$/Mg,LogNormal,3.080,0.2,,
77,Composting,Operational_Cost,Mixed_Plastic,Operation cost of Mixed_Plastic,21.77,$/Mg,LogNormal,3.081,0.2,,
78,Composting,Operational_Cost,Plastic_Film,Operation cost of Plastic_Film,22.23,$/Mg,LogNormal,3.101,0.2,,
79,Composting,Operational_Cost,Plastic_Non_Recyclable,Operation cost of Plastic_Non_Recyclable,22.22,$/Mg,LogNormal,3.101,0.2,,
80,Composting,Operational_Cost,Ferrous_Cans,Operation cost of Ferrous_Cans,21.57,$/Mg,LogNormal,3.071,0.2,,
81,Composting,Operational_Cost,Ferrous_Metal_Other,Operation cost of Ferrous_Metal_Other,21.57,$/Mg,LogNormal,3.071,0.2,,
82,Composting,Operational_Cost,Aluminum_Cans,Operation cost of Aluminum_Cans,21.56,$/Mg,LogNormal,3.071,0.2,,
83,Composting,Operational_Cost,Aluminum_Foil,Operation cost of Aluminum_Foil,21.78,$/Mg,LogNormal,3.081,0.2,,
84,Composting,Operational_Cost,Aluminum_Other,Operation cost of Aluminum_Other,21.58,$/Mg,LogNormal,3.072,0.2,,
85,Composting,Operational_Cost,Ferrous_Non_recyclable,Operation cost of Ferrous_Non_recyclable,21.57,$/Mg,LogNormal,3.071,0.2,,
86,Composting,Operational_Cost,Al_Non_recyclable,Operation cost of Al_Non_recyclable,21.58,$/Mg,LogNormal,3.072,0.2,,
87,Composting,Operational_Cost,Glass_Brown,Operation cost of Glass_Brown,21.55,$/Mg,LogNormal,3.071,0.2,,
88,Composting,Operational_Cost,Glass_Green,Operation cost of Glass_Green,21.55,$/Mg,LogNormal,3.070,0.2,,
89,Composting,Operational_Cost,Glass_Clear,Operation cost of Glass_Clear,21.57,$/Mg,LogNormal,3.071,0.2,,
90,Composting,Operational_Cost,Mixed_Glass,Operation cost of Mixed_Glass,21.56,$/Mg,LogNormal,3.071,0.2,,
91,Composting,Operational_Cost,Glass_Non_recyclable,Operation cost of Glass_Non_recyclable,21.57,$/Mg,LogNormal,3.071,0.2,,
92,Composting,Operational_Cost,Misc_Organic,Operation cost of Misc_Organic,20.07,$/Mg,LogNormal,2.999,0.2,,
93,Composting,Operational_Cost,Misc_Inorganic,Operation cost of Misc_Inorganic,10.70,$/Mg,LogNormal,2.371,0.2,,
94,Composting,Operational_Cost,E_waste,Operation cost of E_waste,21.54,$/Mg,LogNormal,3.070,0.2,,
95,Composting,Operational_Cost,Bottom_Ash,Operation cost of Bottom_Ash,4.12,$/Mg,LogNormal,1.415,0.2,,
96,Composting,Operational_Cost,Fly_Ash,Operation cost of Fly_Ash,4.12,$/Mg,LogNormal,1.415,0.2,,
97,Composting,Operational_Cost,Diapers_and_sanitary_products,Operation cost of Diapers_and_sanitary_products,11.27,$/Mg,LogNormal,2.423,0.2,,
98,HC,Material_Properties,densFC,Density of final compost,700,kg/m3,Normal,700,100,,
99,HC,Economic_parameters,comp_cost,Composter cost,100,$,LogNormal,4.605,0.2,,
100,AD,Biogas_gen,ad_HeatRate,Heat rate for electrical energy generation,9.86,MJ/kWh,Normal,9.86,0.4,,
101,AD,Material_Properties,densFC,Density of final compost,700,kg/m3,Normal,700,100,,
102,AD,Economic_parameters,Unit_capital_cost,Capital Cost,669.28,$/design Mg per year,LogNormal,6.506,0.2,,
103,AD,Operational_Cost,Yard_Trimmings_Leaves,Operation cost of Yard_Trimmings_Leaves,27.40,$/Mg,LogNormal,3.311,0.2,,
104,AD,Operational_Cost,Yard_Trimmings_Grass,Operation cost of Yard_Trimmings_Grass,11.57,$/Mg,LogNormal,2.448,0.2,,
105,AD,Operational_Cost,Yard_Trimmings_Branches,Operation cost of Yard_Trimmings_Branches,25.45,$/Mg,LogNormal,3.237,0.2,,
106,AD,Operational_Cost,Food_Waste_Vegetable,Operation cost of Food_Waste_Vegetable,10.81,$/Mg,LogNormal,2.380,0.2,,
107,AD,Operational_Cost,Food_Waste_Non_Vegetable,Operation cost of Food_Waste_Non_Vegetable,15.55,$/Mg,LogNormal,2.744,0.2,,
108,AD,Operational_Cost,Wood,Operation cost of Wood,32.16,$/Mg,LogNormal,3.471,0.2,,
109,AD,Operational_Cost,Wood_Other,Operation cost of Wood_Other,32.17,$/Mg,LogNormal,3.471,0.2,,
110,AD,Operational_Cost,Textiles,Operation cost of Textiles,33.93,$/Mg,LogNormal,3.524,0.2,,
111,AD,Operational_Cost,Rubber_Leather,Operation cost of Rubber_Leather,35.15,$/Mg,LogNormal,3.560,0.2,,
112,AD,Operational_Cost,Newsprint,Operation cost of Newsprint,34.51,$/Mg,LogNormal,3.541,0.2,,
113,AD,Operational_Cost,Corr_Cardboard,Operation cost of Corr_Cardboard,31.15,$/Mg,LogNormal,3.439,0.2,,
114,AD,Operational_Cost,Office_Paper,Operation cost of Office_Paper,30.20,$/Mg,LogNormal,3.408,0.2,,
115,AD,Operational_Cost,Magazines,Operation cost of Magazines,33.98,$/Mg,LogNormal,3.526,0.2,,
116,AD,Operational_Cost,Third_Class_Mail,Operation cost of Third_Class_Mail,33.71,$/Mg,LogNormal,3.518,0.2,,
117,AD,Operational_Cost,Folding_Containers,Operation cost of Folding_Containers,30.04,$/Mg,LogNormal,3.403,0.2,,
118,AD,Operational_Cost,Paper_Bags,Operation cost of Paper_Bags,29.51,$/Mg,LogNormal,3.385,0.2,,
119,AD,Operational_Cost,Mixed_Paper,Operation cost of Mixed_Paper,31.86,$/Mg,LogNormal,3.461,0.2,,
120,AD,Operational_Cost,Paper_Non_recyclable,Operation cost of Paper_Non_recyclable,26.97,$/Mg,LogNormal,3.295,0.2,,
121,AD,Operational_Cost,HDPE_Translucent_Containers,Operation cost of HDPE_Translucent_Containers,8.14,$/Mg,LogNormal,2.097,0.2,,
122,AD,Operational_Cost,HDPE_Pigmented_Containers,Operation cost of HDPE_Pigmented_Containers,8.14,$/Mg,LogNormal,2.097,0.2,,
123,AD,Operational_Cost,PET_Containers,Operation cost of PET_Containers,8.14,$/Mg,LogNormal,2.097,0.2,,
124,AD,Operational_Cost,Plastic_Other_1_Polypropylene,Operation cost of Plastic_Other_1_Polypropylene,8.26,$/Mg,LogNormal,2.111,0.2,,
125,AD,Operational_Cost,Plastic_Other_2,Operation cost of Plastic_Other_2,8.32,$/Mg,LogNormal,2.118,0.2,,
126,AD,Operational_Cost,Mixed_Plastic,Operation cost of Mixed_Plastic,8.18,$/Mg,LogNormal,2.102,0.2,,
127,AD,Operational_Cost,Plastic_Film,Operation cost of Plastic_Film,8.08,$/Mg,LogNormal,2.089,0.2,,
128,AD,Operational_Cost,Plastic_Non_Recyclable,Operation cost of Plastic_Non_Recyclable,8.19,$/Mg,LogNormal,2.103,0.2,,
129,AD,Operational_Cost,Ferrous_Cans,Operation cost of Ferrous_Cans,8.09,$/Mg,LogNormal,2.091,0.2,,
130,AD,Operational_Cost,Ferrous_Metal_Other,Operation cost of Ferrous_Metal_Other,8.09,$/Mg,LogNormal,2.091,0.2,,
131,AD,Operational_Cost,Aluminum_Cans,Operation cost of Aluminum_Cans,8.17,$/Mg,LogNormal,2.101,0.2,,
132,AD,Operational_Cost,Aluminum_Foil,Operation cost of Aluminum_Foil,8.00,$/Mg,LogNormal,2.079,0.2,,
133,AD,Operational_Cost,Aluminum_Other,Operation cost of Aluminum_Other,8.00,$/Mg,LogNormal,2.079,0.2,,
134,AD,Operational_Cost,Ferrous_Non_recyclable,Operation cost of Ferrous_Non_recyclable,8.09,$/Mg,LogNormal,2.091,0.2,,
135,AD,Operational_Cost,Al_Non_recyclable,Operation cost of Al_Non_recyclable,8.00,$/Mg,LogNormal,2.079,0.2,,
136,AD,Operational_Cost,Glass_Brown,Operation cost of Glass_Brown,8.23,$/Mg,LogNormal,2.108,0.2,,
137,AD,Operational_Cost,Glass_Green,Operation cost of Glass_Green,8.26,$/Mg,LogNormal,2.111,0.2,,
138,AD,Operational_Cost,Glass_Clear,Operation cost of Glass_Clear,8.11,$/Mg,LogNormal,2.093,0.2,,
139,AD,Operational_Cost,Mixed_Glass,Operation cost of Mixed_Glass,8.17,$/Mg,LogNormal,2.100,0.2,,
140,AD,Operational_Cost,Glass_Non_recyclable,Operation cost of Glass_Non_recyclable,8.14,$/Mg,LogNormal,2.097,0.2,,
141,AD,Operational_Cost,Misc_Organic,Operation cost of Misc_Organic,29.06,$/Mg,LogNormal,3.369,0.2,,
142,AD,Operational_Cost,Misc_Inorganic,Operation cost of Misc_Inorganic,7.69,$/Mg,LogNormal,2.040,0.2,,
143,AD,Operational_Cost,E_waste,Operation cost of E_waste,8.32,$/Mg,LogNormal,2.118,0.2,,
144,AD,Operational_Cost,Bottom_Ash,Operation cost of Bottom_Ash,40.64,$/Mg,LogNormal,3.705,0.2,,
145,AD,Operational_Cost,Fly_Ash,Operation cost of Fly_Ash,40.64,$/Mg,LogNormal,3.705,0.2,,
146,AD,Operational_Cost,Diapers_and_sanitary_products,Operation cost of Diapers_and_sanitary_products,25.16,$/Mg,LogNormal,3.225,0.2,,
147,AnF,AnF_operation,FeedSubFac,Feed substitution factor (based on dry mass),1,kgTS/kgTS,Uniform,,,0.7,1
148,AnF,Equipment:Conveyor,motor,Motor Size,5.6,kW,LogNormal,1.723,0.2,,
149,AnF,Equipment:Conveyor,Investment_cost,Investment Cost,46258,$,LogNormal,10.742,0.2,,
150,AnF,Equipment:Conveyor,Installation_cost,Installation Cost,4625.8,$,LogNormal,8.439,0.2,,
151,AnF,Equipment:Conveyor,O&M,Fixed Operations and Maintenance Cost,10000,$/yr,LogNormal,9.210,0.2,,
152,AnF,Equipment:Drum Feeder,motor,Motor Size,15,kW,LogNormal,2.708,0.2,,
153,AnF,Equipment:Drum Feeder,Investment_cost,Investment Cost,150000,$,LogNormal,11.918,0.2,,
154,AnF,Equipment:Drum Feeder,Installation_cost,Installation Cost,15000,$,LogNormal,9.616,0.2,,
155,AnF,Equipment:Drum Feeder,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,LogNormal,8.517,0.2,,
156,AnF,Equipment:Disc Screen,motor,Motor Size,8.5,kW,LogNormal,2.140,0.2,,
157,AnF,Equipment:Disc Screen,Investment_cost,Investment Cost,175000,$,LogNormal,12.073,0.2,,
158,AnF,Equipment:Disc Screen,Installation_cost,Installation Cost,17500,$,LogNormal,9.770,0.2,,
159,AnF,Equipment:Disc Screen,O&M,Fixed Operations and Maintenance Cost,10000,$/yr,LogNormal,9.210,0.2,,
160,AnF,Equipment:Negative Sort,motor,Motor Size,3,kW,LogNormal,1.099,0.2,,
161,AnF,Equipment:Negative Sort,Investment_cost,Investment Cost,50000,$,LogNormal,10.820,0.2,,
162,AnF,Equipment:Negative Sort,Installation_cost,Installation Cost,5000,$,LogNormal,8.517,0.2,,
163,AnF,Equipment:Negative Sort,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,LogNormal,8.517,0.2,,
164,AnF,Equipment:Shredder,motor,Motor Size,320,kW,LogNormal,5.768,0.2,,
165,AnF,Equipment:Shredder,Investment_cost,Investment Cost,150000,$,LogNormal,11.918,0.2,,
166,AnF,Equipment:Shredder,Installation_cost,Installation Cost,15000,$,LogNormal,9.616,0.2,,
167,AnF,Equipment:Shredder,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,LogNormal,8.517,0.2,,
168,AnF,Equipment:Pelletizer,motor,Motor Size,60,kW,LogNormal,4.094,0.2,,
169,AnF,Equipment:Pelletizer,Investment_cost,Investment Cost,30000,$,LogNormal,10.309,0.2,,
170,AnF,Equipment:Pelletizer,Installation_cost,Installation Cost,2500,$,LogNormal,7.824,0.2,,
171,AnF,Equipment:Pelletizer,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,LogNormal,8.517,0.2,,
172,AnF,Equipment:Sterilizer,motor,Motor Size,4,kW,LogNormal,1.386,0.2,,
173,AnF,Equipment:Sterilizer,diesel_use,Diesel Consumption ,4.5,L/Mg,LogNormal,1.504,0.2,,
174,AnF,Equipment:Sterilizer,Investment_cost,Investment Cost,60000,$,LogNormal,11.002,0.2,,
175,AnF,Equipment:Sterilizer,Installation_cost,Installation Cost,6000,$,LogNormal,8.700,0.2,,
176,AnF,Equipment:Sterilizer,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,LogNormal,8.517,0.2,,
177,AnF,Equipment:Dewater,motor,Motor Size,7,kW,LogNormal,1.946,0.2,,
178,AnF,Equipment:Dewater,Investment_cost,Investment Cost,40000,$,LogNormal,10.597,0.2,,
179,AnF,Equipment:Dewater,Installation_cost,Installation Cost,4000,$,LogNormal,8.294,0.2,,
180,AnF,Equipment:Dewater,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,LogNormal,8.517,0.2,,
181,AnF,Equipment:Dryer,motor,Motor Size,100,kW,LogNormal,4.605,0.2,,
182,AnF,Equipment:Dryer,diesel_use,Diesel Consumption ,24,L/Mg,LogNormal,3.178,0.2,,
183,AnF,Equipment:Dryer,Investment_cost,Investment Cost,350000,$,LogNormal,12.766,0.2,,
184,AnF,Equipment:Dryer,Installation_cost,Installation Cost,35000,$,LogNormal,10.463,0.2,,
185,AnF,Equipment:Dryer,O&M,Fixed Operations and Maintenance Cost,10000,$/yr,LogNormal,9.210,0.2,,
186,SS_MRF,Equipment:Eddy Current Separator,motor,Motor Size,9,kW,LogNormal,2.197,0.2,,
187,SS_MRF,Equipment:Eddy Current Separator,Investment_cost,Investment Cost,128000,$,LogNormal,11.760,0.2,,
188,SS_MRF,Equipment:Eddy Current Separator,Installation_cost,Installation Cost,12800,$,LogNormal,9.457,0.2,,
189,SS_MRF,Equipment:Eddy Current Separator,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,LogNormal,8.517,0.2,,
190,SS_MRF,Equipment:Manual Eddy Current Separator,motor,Motor Size,3,kW,LogNormal,1.099,0.2,,
191,SS_MRF,Equipment:Manual Eddy Current Separator,Investment_cost,Investment Cost,50000,$,LogNormal,10.820,0.2,,
192,SS_MRF,Equipment:Manual Eddy Current Separator,Installation_cost,Installation Cost,5000,$,LogNormal,8.517,0.2,,
193,SS_MRF,Equipment:Magnet,motor,Motor Size,4,kW,LogNormal,1.386,0.2,,
194,SS_MRF,Equipment:Magnet,Investment_cost,Investment Cost,35000,$,LogNormal,10.463,0.2,,
195,SS_MRF,Equipment:Magnet,Installation_cost,Installation Cost,3500,$,LogNormal,8.161,0.2,,
196,SS_MRF,Equipment:Magnet,O&M,Fixed Operations and Maintenance Cost,5000,$/yr,LogNormal,8.517,0.2,,
197,SS_MRF,Equipment:Magnet_Manual,motor,Motor Size,3,kW,LogNormal,1.099,0.2,,
198,SS_MRF,Equipment:Magnet_Manual,Investment_cost,Investment Cost,50000,$,LogNormal,10.820,0.2,,
199,SS_MRF,Equipment:Magnet_Manual,Installation_cost,Installation Cost,5000,$,LogNormal,8.517,0.2,,
200,SS_MRF,Equipment:Disc Screen 1,motor,Motor Size,8.5,kW,LogNormal,2.140,0.2,,
201,SS_MRF,Equipment:Disc Screen 1,Investment_cost,Investment Cost,175000,$,LogNormal,12.073,0.2,,
202,SS_MRF,Equipment:Disc Screen 1,Installation_cost,Installation Cost,17500,$,LogNormal,9.770,0.2,,
203,SS_MRF,Equipment:Disc Screen 1,O&M,Fixed Operations and Maintenance Cost,10000,$/yr,LogNormal,9.210,0.2,,
204,SS_MRF,Equipment:Disc Screen 1 Manual,motor,Motor Size,3,kW,LogNormal,1.099,0.2,,
205,SS_MRF,Equipment:Disc Screen 1 Manual,Investment_cost,Investment Cost,50000,$,LogNormal,10.820,0.2,,
206,SS_MRF,Equipment:Disc Screen 1 Manual,Installation_cost,Installation Cost,5000,$,LogNormal,8.517,0.2,,
207,SS_MRF,Equipment:Disc Screen 2,motor,Motor Size,5.5,kW,LogNormal,1.705,0.2,,
208,SS_MRF,Equipment:Disc Screen 2,Investment_cost,Investment Cost,400000,$,LogNormal,12.899,0.2,,
209,SS_MRF,Equipment:Disc Screen 2,Installation_cost,Installation Cost,40000,$,LogNormal,10.597,0.2,,
210,SS_MRF,Equipment:Disc Screen 2,O&M,Fixed Operations and Maintenance Cost,13000,$/yr,LogNormal,9.473,0.2,,
211,SS_MRF,Equipment:Disc Screen 3,motor,Motor Size,10,kW,LogNormal,2.303,0.2,,
212,SS_MRF,Equipment:Disc Screen 3,Investment_cost,Investment Cost,280000,$,LogNormal,12.543,0.2,,
213,SS_MRF,Equipment:Disc Screen 3,Installation_cost,Installation Cost,28000,$,LogNormal,10.240,0.2,,
214,SS_MRF,Equipment:Disc Screen 3,O&M,Fixed Operations and Maintenance Cost,10000,$/yr,LogNormal,9.210,0.2,,
215,SS_MRF,Equipment:Disc Screen 2_Manual,motor,Motor Size,3,kW,LogNormal,1.099,0.2,,
216,SS_MRF,Equipment:Disc Screen 2_Manual,Investment_cost,Investment Cost,50000,$,LogNormal,10.820,0.2,,
217,SS_MRF,Equipment:Disc Screen 2_Manual,Installation_cost,Installation Cost,5000,$,LogNormal,8.517,0.2,,
218,SS_MRF,Equipment:Disc Screen 3_Manual,motor,Motor Size,3,kW,LogNormal,1.099,0.2,,
219,SS_MRF,Equipment:Disc Screen 3_Manual,Investment_cost,Investment Cost,50000,$,LogNormal,10.820,0.2,,
220,SS_MRF,Equipment:Disc Screen 3_Manual,Installation_cost,Installation Cost,5000,$,LogNormal,8.517,0.2,,
221,SS_MRF,Equipment:Vacuum,motor,Motor Size,5,kW,LogNormal,1.609,0.2,,
222,SS_MRF,Equipment:Vacuum,Investment_cost,Investment Cost,150000,$,LogNormal,11.918,0.2,,
223,SS_MRF,Equipment:Vacuum,Installation_cost,Installation Cost,15000,$,LogNormal,9.616,0.2,,
224,SS_MRF,Equipment:Vacuum,O&M,Fixed Operations and Maintenance Cost,100,$/yr,LogNormal,4.605,0.2,,
225,SS_MRF,Equipment:Vacuum Manual,motor,Motor Size,3,kW,LogNormal,1.099,0.2,,
